id,city_name,signup_os,signup_channel,vehicle_make,vehicle_model,vehicle_year,bgc_interval,vehicle_interval,started
1,Strark,ios web,Paid,other,other,-1.0,-1.0,-1.0,False
2,Strark,windows,Paid,other,other,-1.0,-1.0,-1.0,False
3,Wrouver,windows,Organic,other,other,-1.0,0.0,-1.0,False
4,Berton,android web,Referral,Toyota,Corolla,2016.0,5.0,5.0,True
5,Strark,android web,Referral,Hyundai,Sonata,2016.0,15.0,16.0,False
6,Strark,android web,Referral,Cadillac,DTS,2006.0,0.0,4.0,False
7,Strark,ios web,Paid,Toyota,Prius V,2014.0,2.0,7.0,True
8,Strark,ios web,Referral,other,other,-1.0,10.0,-1.0,False
9,Strark,other,Referral,other,other,-1.0,-1.0,-1.0,False
10,Berton,ios web,Paid,other,other,-1.0,-1.0,-1.0,False
11,Strark,ios web,Referral,Kia,Optima,2015.0,22.0,37.0,False
12,Berton,mac,Paid,other,other,-1.0,-1.0,-1.0,False
13,Strark,android web,Referral,Kia,Optima,2015.0,0.0,0.0,True
14,Strark,ios web,Paid,other,other,-1.0,7.0,-1.0,False
15,Strark,windows,Paid,other,other,-1.0,5.0,-1.0,False
16,Strark,windows,Referral,Toyota,Prius V,2015.0,2.0,2.0,True
17,Wrouver,ios web,Paid,other,other,-1.0,-1.0,-1.0,False
18,Strark,android web,Paid,other,other,-1.0,4.0,-1.0,False
19,Berton,ios web,Organic,other,other,-1.0,1.0,-1.0,False
20,Strark,ios web,Organic,other,other,-1.0,-1.0,-1.0,False
21,Berton,ios web,Paid,Dodge,Durango,2015.0,9.0,31.0,False
22,Berton,ios web,Organic,other,other,-1.0,-1.0,-1.0,False
23,Wrouver,ios web,Paid,other,other,-1.0,12.0,-1.0,False
24,Berton,other,Paid,other,other,-1.0,-1.0,-1.0,False
25,Berton,mac,Organic,other,other,-1.0,43.0,-1.0,False
26,Strark,windows,Paid,other,other,-1.0,13.0,-1.0,False
27,Strark,android web,Referral,Mercedes-Benz,C-Class,2016.0,1.0,26.0,False
28,Strark,other,Organic,Hyundai,Sonata,2016.0,15.0,22.0,False
29,Strark,android web,Organic,Infiniti,G Sedan,2010.0,18.0,32.0,False
30,Strark,android web,Referral,other,other,-1.0,16.0,-1.0,False
31,Berton,ios web,Paid,other,other,-1.0,-1.0,-1.0,False
32,Strark,android web,Organic,other,other,-1.0,27.0,-1.0,False
33,Berton,android web,Referral,Honda,Civic,2015.0,6.0,19.0,False
34,Berton,android web,Organic,other,other,-1.0,1.0,-1.0,False
35,Berton,ios web,Paid,other,other,-1.0,-1.0,-1.0,False
36,Strark,other,Paid,other,other,-1.0,13.0,-1.0,False
37,Strark,mac,Organic,other,other,-1.0,13.0,-1.0,False
38,Strark,mac,Referral,other,other,-1.0,-1.0,-1.0,False
39,Strark,windows,Organic,other,other,-1.0,11.0,-1.0,False
40,Strark,android web,Organic,other,other,-1.0,23.0,-1.0,False
41,Berton,ios web,Paid,other,other,-1.0,0.0,-1.0,False
42,Berton,ios web,Paid,other,other,-1.0,-1.0,-1.0,False
43,Strark,ios web,Referral,other,other,-1.0,17.0,-1.0,False
44,Berton,android web,Referral,Toyota,Corolla,2015.0,1.0,3.0,True
45,Strark,mac,Paid,other,other,-1.0,9.0,-1.0,False
46,Strark,windows,Referral,Honda,Civic,2015.0,2.0,5.0,True
47,Strark,ios web,Referral,other,other,-1.0,30.0,-1.0,False
48,Strark,android web,Paid,other,other,-1.0,-1.0,-1.0,False
49,Strark,mac,Organic,other,other,-1.0,3.0,-1.0,False
50,Strark,ios web,Organic,Toyota,Prius V,2012.0,9.0,16.0,False
51,Berton,android web,Paid,other,other,-1.0,1.0,-1.0,False
52,Berton,other,Organic,other,other,-1.0,12.0,-1.0,False
53,Wrouver,ios web,Paid,Fiat,500X,2016.0,8.0,9.0,False
54,Berton,windows,Organic,other,other,-1.0,-1.0,-1.0,False
55,Berton,mac,Paid,other,other,-1.0,16.0,-1.0,False
56,Wrouver,ios web,Organic,other,other,-1.0,9.0,-1.0,False
57,Strark,ios web,Paid,Toyota,Prius V,2012.0,2.0,9.0,True
