id,city_name,signup_os,signup_channel,vehicle_make,vehicle_model,vehicle_year,bgc_interval,vehicle_interval,started
1,0,0,0,0,0,0,0,0,0
2,0,3,0,0,0,0,0,0,0
3,2,3,2,0,0,0,1,0,0
4,1,1,1,1,1,3,3,2,1
5,0,1,1,3,2,3,4,4,0
6,0,1,1,5,5,4,1,2,0
7,0,0,0,1,2,1,2,2,1
8,0,0,1,0,0,0,4,0,0
9,0,2,1,0,0,0,0,0,0
10,1,0,0,0,0,0,0,0,0
11,0,0,1,4,2,1,5,5,0
12,1,4,0,0,0,0,0,0,0
13,0,1,1,4,2,1,1,1,1
14,0,0,0,0,0,0,3,0,0
15,0,3,0,0,0,0,3,0,0
16,0,3,1,1,2,1,2,1,1
17,2,0,0,0,0,0,0,0,0
18,0,1,0,0,0,0,2,0,0
19,1,0,2,0,0,0,1,0,0
20,0,0,2,0,0,0,0,0,0
21,1,0,0,4,5,1,3,4,0
22,1,0,2,0,0,0,0,0,0
23,2,0,0,0,0,0,4,0,0
24,1,2,0,0,0,0,0,0,0
25,1,4,2,0,0,0,5,0,0
26,0,3,0,0,0,0,4,0,0
27,0,1,1,4,3,3,1,4,0
28,0,2,2,3,2,3,4,4,0
29,0,1,2,5,4,4,4,5,0
30,0,1,1,0,0,0,4,0,0
31,1,0,0,0,0,0,0,0,0
32,0,1,2,0,0,0,5,0,0
33,1,1,1,2,1,1,3,4,0
34,1,1,2,0,0,0,1,0,0
35,1,0,0,0,0,0,0,0,0
36,0,2,0,0,0,0,4,0,0
37,0,4,2,0,0,0,4,0,0
38,0,4,1,0,0,0,0,0,0
39,0,3,2,0,0,0,4,0,0
40,0,1,2,0,0,0,5,0,0
41,1,0,0,0,0,0,1,0,0
42,1,0,0,0,0,0,0,0,0
43,0,0,1,0,0,0,4,0,0
44,1,1,1,1,1,1,1,1,1
45,0,4,0,0,0,0,3,0,0
46,0,3,1,2,1,1,2,2,1
47,0,0,1,0,0,0,5,0,0
48,0,1,0,0,0,0,0,0,0
49,0,4,2,0,0,0,2,0,0
50,0,0,2,1,2,3,3,4,0
51,1,1,0,0,0,0,1,0,0
52,1,2,2,0,0,0,4,0,0
53,2,0,0,5,5,3,3,3,0
54,1,3,2,0,0,0,0,0,0
55,1,4,0,0,0,0,4,0,0
56,2,0,2,0,0,0,3,0,0
57,0,0,0,1,2,3,2,3,1
58,0,1,1,0,0,0,4,0,0
59,1,0,2,0,0,0,0,0,0
60,1,2,1,0,0,0,1,0,0
61,0,0,2,0,0,0,3,0,0
62,0,0,2,0,0,0,1,0,0
63,1,1,0,0,0,0,0,0,0
64,0,2,2,0,0,0,0,0,0
65,1,1,2,0,0,0,0,0,0
66,0,2,0,0,0,0,5,0,0
67,0,2,2,0,0,0,5,0,0
68,1,0,2,0,0,0,0,0,0
69,0,0,0,5,5,4,4,4,0
70,0,0,2,0,0,0,3,0,0
71,1,3,0,0,0,0,4,0,0
72,0,0,0,0,0,0,1,0,0
73,0,1,2,0,0,0,0,0,0
74,0,1,1,0,0,0,0,0,0
75,2,0,1,5,5,4,0,5,0
76,0,1,2,0,0,0,2,0,0
77,0,2,1,0,0,0,4,0,0
78,1,0,2,0,0,0,2,0,0
79,0,3,1,4,4,4,2,5,0
80,1,1,2,0,0,0,5,0,0
81,1,0,2,0,0,0,4,0,0
82,0,0,1,1,2,1,1,1,1
83,1,0,2,0,0,0,4,0,0
84,0,3,0,0,0,0,5,0,0
85,0,4,2,2,2,3,3,3,1
86,1,1,1,0,0,0,2,0,0
87,0,4,2,0,0,0,2,0,0
88,1,4,1,0,0,0,4,0,0
89,0,1,2,0,0,0,5,0,0
90,0,1,0,0,0,0,0,0,0
91,0,2,1,0,0,0,4,0,0
